start and end vertex of each wall
(5, 4)
(556, 15)
(4, 16)
(17, 614)
(15, 184)
(115, 394)
(16, 484)
(56, 515)
(543, 16)
(556, 615)
(445, 183)
(543, 396)
(504, 483)
(543, 516)
(262, 15)
(295, 95)
(44, 44)
(115, 95)
(144, 44)
(235, 95)
(325, 45)
(415, 95)
(444, 44)
(515, 94)
(44, 125)
(116, 156)
(143, 125)
(175, 276)
(175, 184)
(235, 214)
(205, 124)
(355, 155)
(264, 156)
(295, 215)
(385, 125)
(415, 277)
(324, 184)
(384, 215)
(444, 124)
(515, 155)

(144, 303)
(175, 395)
(383, 304)
(415, 395)
(205, 364)
(355, 395)
(263, 396)
(295, 456)
(145, 425)
(235, 455)
(324, 425)
(415, 455)
(445, 425)
(515, 456)
(445, 456)
(476, 515)
(45, 424)
(115, 455)
(84, 455)
(115, 514)
(205, 484)
(355, 515)
(264, 515)
(295, 574)
(384, 485)
(415, 544)
(325, 544)
(515, 574)
(145, 484)
(176, 544)
(44, 544)
(235, 574)
(15, 604)
(555, 614)
